driver_age,area,vehicle_group,rate
50-64,4,3,0.98
50-64,4,4,1.09
50-64,4,5,1.20
50-64,4,6,1.31
50-64,4,7,1.42
50-64,4,8,1.53
50-64,4,9,1.64
50-64,4,10,1.75
50-64,5,1,0.90
50-64,5,2,1.03
50-64,5,3,1.15
50-64,5,4,1.28
50-64,5,5,1.41
50-64,5,6,1.54
50-64,5,7,1.67
50-64,5,8,1.80
50-64,5,9,1.92
50-64,5,10,2.05
65+,1,1,0.68
65+,1,2,0.78
65+,1,3,0.88
65+,1,4,0.98
65+,1,5,1.08
65+,1,6,1.17
65+,1,7,1.27
65+,1,8,1.37
65+,1,9,1.47
65+,1,10,1.56
65+,2,1,0.76
65+,2,2,0.87
65+,2,3,0.98
65+,2,4,1.09
65+,2,5,1.20
65+,2,6,1.31
65+,2,7,1.42
65+,2,8,1.53
65+,2,9,1.64
65+,2,10,1.75
65+,3,1,0.81
65+,3,2,0.92
65+,3,3,1.04
65+,3,4,1.15
65+,3,5,1.27
65+,3,6,1.38
65+,3,7,1.50
65+,3,8,1.61
65+,3,9,1.73
65+,3,10,1.84
65+,4,1,0.93
65+,4,2,1.06
65+,4,3,1.19
65+,4,4,1.32
65+,4,5,1.45
65+,4,6,1.59
65+,4,7,1.72
65+,4,8,1.85
65+,4,9,1.98
65+,4,10,2.12
65+,5,1,1.09
65+,5,2,1.24
65+,5,3,1.40
65+,5,4,1.55
65+,5,5,1.71
65+,5,6,1.86
65+,5,7,2.02
65+,5,8,2.17
65+,5,9,2.33
65+,5,10,2.48
