employee_ref,bike_value,ebike,lease_start,lease_end
E1257,609,no,2026-06-01,2027-06-01
E1258,746,yes,2026-07-01,2027-07-01
E1259,883,no,2026-08-01,2027-08-01
E1260,1020,no,2026-09-01,2027-09-01
E1261,1157,yes,2026-10-01,2027-10-01
E1262,1294,no,2026-11-01,2027-11-01
E1263,1431,no,2026-12-01,2027-12-01
E1264,1568,yes,2026-01-01,2027-01-01
E1265,1705,no,2026-02-01,2027-02-01
E1266,1842,no,2026-03-01,2027-03-01
E1267,1979,yes,2026-04-01,2027-04-01
E1268,2116,no,2026-05-01,2027-05-01
E1269,2253,no,2026-06-01,2027-06-01
E1270,2390,yes,2026-07-01,2027-07-01
E1271,2527,no,2026-08-01,2027-08-01
E1272,2664,no,2026-09-01,2027-09-01
E1273,2801,yes,2026-10-01,2027-10-01
E1274,2938,no,2026-11-01,2027-11-01
E1275,3075,no,2026-12-01,2027-12-01
E1276,3212,yes,2026-01-01,2027-01-01
E1277,3349,no,2026-02-01,2027-02-01
E1278,3486,no,2026-03-01,2027-03-01
E1279,3623,yes,2026-04-01,2027-04-01
E1280,3760,no,2026-05-01,2027-05-01
E1281,3897,no,2026-06-01,2027-06-01
E1282,4034,yes,2026-07-01,2027-07-01
E1283,4171,no,2026-08-01,2027-08-01
E1284,4308,no,2026-09-01,2027-09-01
E1285,4445,yes,2026-10-01,2027-10-01
E1286,4582,no,2026-11-01,2027-11-01
E1287,4719,no,2026-12-01,2027-12-01
E1288,4856,yes,2026-01-01,2027-01-01
E1289,4993,no,2026-02-01,2027-02-01
E1290,730,no,2026-03-01,2027-03-01
E1291,867,yes,2026-04-01,2027-04-01
E1292,1004,no,2026-05-01,2027-05-01
E1293,1141,no,2026-06-01,2027-06-01
E1294,1278,yes,2026-07-01,2027-07-01
E1295,1415,no,2026-08-01,2027-08-01
E1296,1552,no,2026-09-01,2027-09-01
E1297,1689,yes,2026-10-01,2027-10-01
E1298,1826,no,2026-11-01,2027-11-01
E1299,1963,no,2026-12-01,2027-12-01
E1300,2100,yes,2026-01-01,2027-01-01
E1301,2237,no,2026-02-01,2027-02-01
E1302,2374,no,2026-03-01,2027-03-01
E1303,2511,yes,2026-04-01,2027-04-01
E1304,2648,no,2026-05-01,2027-05-01
E1305,2785,no,2026-06-01,2027-06-01
E1306,2922,yes,2026-07-01,2027-07-01
E1307,3059,no,2026-08-01,2027-08-01
E1308,3196,no,2026-09-01,2027-09-01
E1309,3333,yes,2026-10-01,2027-10-01
E1310,3470,no,2026-11-01,2027-11-01
E1311,3607,no,2026-12-01,2027-12-01
E1312,3744,yes,2026-01-01,2027-01-01
E1313,3881,no,2026-02-01,2027-02-01
E1314,4018,no,2026-03-01,2027-03-01
E1315,4155,yes,2026-04-01,2027-04-01
E1316,4292,no,2026-05-01,2027-05-01
E1317,4429,no,2026-06-01,2027-06-01
E1318,4566,yes,2026-07-01,2027-07-01
E1319,4703,no,2026-08-01,2027-08-01
E1320,4840,no,2026-09-01,2027-09-01
E1321,4977,yes,2026-10-01,2027-10-01
E1322,714,no,2026-11-01,2027-11-01
E1323,851,no,2026-12-01,2027-12-01
E1324,988,yes,2026-01-01,2027-01-01
E1325,1125,no,2026-02-01,2027-02-01
E1326,1262,no,2026-03-01,2027-03-01
E1327,1399,yes,2026-04-01,2027-04-01
E1328,1536,no,2026-05-01,2027-05-01
E1329,1673,no,2026-06-01,2027-06-01
E1330,1810,yes,2026-07-01,2027-07-01
E1331,1947,no,2026-08-01,2027-08-01
E1332,2084,no,2026-09-01,2027-09-01
E1333,2221,yes,2026-10-01,2027-10-01
E1334,2358,no,2026-11-01,2027-11-01
E1335,2495,no,2026-12-01,2027-12-01
E1336,2632,yes,2026-01-01,2027-01-01
E1337,2769,no,2026-02-01,2027-02-01
E1338,2906,no,2026-03-01,2027-03-01
E1339,3043,yes,2026-04-01,2027-04-01
E1340,3180,no,2026-05-01,2027-05-01
E1341,3317,no,2026-06-01,2027-06-01
E1342,3454,yes,2026-07-01,2027-07-01
E1343,3591,no,2026-08-01,2027-08-01
E1344,3728,no,2026-09-01,2027-09-01
E1345,3865,yes,2026-10-01,2027-10-01
E1346,4002,no,2026-11-01,2027-11-01
E1347,4139,no,2026-12-01,2027-12-01
E1348,4276,yes,2026-01-01,2027-01-01
E1349,4413,no,2026-02-01,2027-02-01
E1350,4550,no,2026-03-01,2027-03-01
E1351,4687,yes,2026-04-01,2027-04-01
E1352,4824,no,2026-05-01,2027-05-01
E1353,4961,no,2026-06-01,2027-06-01
E1354,698,yes,2026-07-01,2027-07-01
E1355,835,no,2026-08-01,2027-08-01
E1356,972,no,2026-09-01,2027-09-01
E1357,1109,yes,2026-10-01,2027-10-01
E1358,1246,no,2026-11-01,2027-11-01
E1359,1383,no,2026-12-01,2027-12-01
E1360,1520,yes,2026-01-01,2027-01-01
E1361,1657,no,2026-02-01,2027-02-01
E1362,1794,no,2026-03-01,2027-03-01
E1363,1931,yes,2026-04-01,2027-04-01
E1364,2068,no,2026-05-01,2027-05-01
E1365,2205,no,2026-06-01,2027-06-01
E1366,2342,yes,2026-07-01,2027-07-01
E1367,2479,no,2026-08-01,2027-08-01
E1368,2616,no,2026-09-01,2027-09-01
E1369,2753,yes,2026-10-01,2027-10-01
E1370,2890,no,2026-11-01,2027-11-01
E1371,3027,no,2026-12-01,2027-12-01
E1372,3164,yes,2026-01-01,2027-01-01
E1373,3301,no,2026-02-01,2027-02-01
E1374,3438,no,2026-03-01,2027-03-01
E1375,3575,yes,2026-04-01,2027-04-01
E1376,3712,no,2026-05-01,2027-05-01
E1377,3849,no,2026-06-01,2027-06-01
E1378,3986,yes,2026-07-01,2027-07-01
E1379,4123,no,2026-08-01,2027-08-01
E1380,4260,no,2026-09-01,2027-09-01
E1381,4397,yes,2026-10-01,2027-10-01
E1382,4534,no,2026-11-01,2027-11-01
E1383,4671,no,2026-12-01,2027-12-01
E1384,4808,yes,2026-01-01,2027-01-01
E1385,4945,no,2026-02-01,2027-02-01
E1386,682,no,2026-03-01,2027-03-01
E1387,819,yes,2026-04-01,2027-04-01
E1388,956,no,2026-05-01,2027-05-01
E1389,1093,no,2026-06-01,2027-06-01
E1390,1230,yes,2026-07-01,2027-07-01
E1391,1367,no,2026-08-01,2027-08-01
E1392,1504,no,2026-09-01,2027-09-01
E1393,1641,yes,2026-10-01,2027-10-01
E1394,1778,no,2026-11-01,2027-11-01
E1395,1915,no,2026-12-01,2027-12-01
E1396,2052,yes,2026-01-01,2027-01-01
E1397,2189,no,2026-02-01,2027-02-01
E1398,2326,no,2026-03-01,2027-03-01
E1399,2463,yes,2026-04-01,2027-04-01
E1400,2600,no,2026-05-01,2027-05-01
E1401,2737,no,2026-06-01,2027-06-01
E1402,2874,yes,2026-07-01,2027-07-01
E1403,3011,no,2026-08-01,2027-08-01
E1404,3148,no,2026-09-01,2027-09-01
E1405,3285,yes,2026-10-01,2027-10-01
E1406,3422,no,2026-11-01,2027-11-01
E1407,3559,no,2026-12-01,2027-12-01
E1408,3696,yes,2026-01-01,2027-01-01
E1409,3833,no,2026-02-01,2027-02-01
E1410,3970,no,2026-03-01,2027-03-01
E1411,4107,yes,2026-04-01,2027-04-01
E1412,4244,no,2026-05-01,2027-05-01
E1413,4381,no,2026-06-01,2027-06-01
E1414,4518,yes,2026-07-01,2027-07-01
E1415,4655,no,2026-08-01,2027-08-01
E1416,4792,no,2026-09-01,2027-09-01
E1417,4929,yes,2026-10-01,2027-10-01
E1418,666,no,2026-11-01,2027-11-01
E1419,803,no,2026-12-01,2027-12-01
E1420,940,yes,2026-01-01,2027-01-01
E1421,1077,no,2026-02-01,2027-02-01
E1422,1214,no,2026-03-01,2027-03-01
E1423,1351,yes,2026-04-01,2027-04-01
E1424,1488,no,2026-05-01,2027-05-01
E1425,1625,no,2026-06-01,2027-06-01
E1426,1762,yes,2026-07-01,2027-07-01
E1427,1899,no,2026-08-01,2027-08-01
E1428,2036,no,2026-09-01,2027-09-01
E1429,2173,yes,2026-10-01,2027-10-01
E1430,2310,no,2026-11-01,2027-11-01
E1431,2447,no,2026-12-01,2027-12-01
E1432,2584,yes,2026-01-01,2027-01-01
E1433,2721,no,2026-02-01,2027-02-01
E1434,2858,no,2026-03-01,2027-03-01
E1435,2995,yes,2026-04-01,2027-04-01
E1436,3132,no,2026-05-01,2027-05-01
E1437,3269,no,2026-06-01,2027-06-01
E1438,3406,yes,2026-07-01,2027-07-01
E1439,3543,no,2026-08-01,2027-08-01
E1440,3680,no,2026-09-01,2027-09-01
E1441,3817,yes,2026-10-01,2027-10-01
E1442,3954,no,2026-11-01,2027-11-01
E1443,4091,no,2026-12-01,2027-12-01
E1444,4228,yes,2026-01-01,2027-01-01
E1445,4365,no,2026-02-01,2027-02-01
E1446,4502,no,2026-03-01,2027-03-01
E1447,4639,yes,2026-04-01,2027-04-01
E1448,4776,no,2026-05-01,2027-05-01
E1449,4913,no,2026-06-01,2027-06-01
E1450,650,yes,2026-07-01,2027-07-01
E1451,787,no,2026-08-01,2027-08-01
E1452,924,no,2026-09-01,2027-09-01
E1453,1061,yes,2026-10-01,2027-10-01
E1454,1198,no,2026-11-01,2027-11-01
E1455,1335,no,2026-12-01,2027-12-01
E1456,1472,yes,2026-01-01,2027-01-01
E1457,1609,no,2026-02-01,2027-02-01
E1458,1746,no,2026-03-01,2027-03-01
E1459,1883,yes,2026-04-01,2027-04-01
E1460,2020,no,2026-05-01,2027-05-01
E1461,2157,no,2026-06-01,2027-06-01
E1462,2294,yes,2026-07-01,2027-07-01
E1463,2431,no,2026-08-01,2027-08-01
E1464,2568,no,2026-09-01,2027-09-01
E1465,2705,yes,2026-10-01,2027-10-01
E1466,2842,no,2026-11-01,2027-11-01
E1467,2979,no,2026-12-01,2027-12-01
E1468,3116,yes,2026-01-01,2027-01-01
E1469,3253,no,2026-02-01,2027-02-01
E1470,3390,no,2026-03-01,2027-03-01
E1471,3527,yes,2026-04-01,2027-04-01
E1472,3664,no,2026-05-01,2027-05-01
E1473,3801,no,2026-06-01,2027-06-01
E1474,3938,yes,2026-07-01,2027-07-01
E1475,4075,no,2026-08-01,2027-08-01
E1476,4212,no,2026-09-01,2027-09-01
E1477,4349,yes,2026-10-01,2027-10-01
E1478,4486,no,2026-11-01,2027-11-01
E1479,4623,no,2026-12-01,2027-12-01
E1480,4760,yes,2026-01-01,2027-01-01
E1481,4897,no,2026-02-01,2027-02-01
E1482,634,no,2026-03-01,2027-03-01
E1483,771,yes,2026-04-01,2027-04-01
E1484,908,no,2026-05-01,2027-05-01
E1485,1045,no,2026-06-01,2027-06-01
E1486,1182,yes,2026-07-01,2027-07-01
E1487,1319,no,2026-08-01,2027-08-01
E1488,1456,no,2026-09-01,2027-09-01
E1489,1593,yes,2026-10-01,2027-10-01
E1490,1730,no,2026-11-01,2027-11-01
E1491,1867,no,2026-12-01,2027-12-01
E1492,2004,yes,2026-01-01,2027-01-01
E1493,2141,no,2026-02-01,2027-02-01
E1494,2278,no,2026-03-01,2027-03-01
E1495,2415,yes,2026-04-01,2027-04-01
E1496,2552,no,2026-05-01,2027-05-01
E1497,2689,no,2026-06-01,2027-06-01
E1498,2826,yes,2026-07-01,2027-07-01
E1499,2963,no,2026-08-01,2027-08-01
E1500,3100,no,2026-09-01,2027-09-01
E1501,3237,yes,2026-10-01,2027-10-01
E1502,3374,no,2026-11-01,2027-11-01
E1503,3511,no,2026-12-01,2027-12-01
E1504,3648,yes,2026-01-01,2027-01-01
E1505,3785,no,2026-02-01,2027-02-01
E1506,3922,no,2026-03-01,2027-03-01
E1507,4059,yes,2026-04-01,2027-04-01
E1508,4196,no,2026-05-01,2027-05-01
E1509,4333,no,2026-06-01,2027-06-01
E1510,4470,yes,2026-07-01,2027-07-01
E1511,4607,no,2026-08-01,2027-08-01
E1512,4744,no,2026-09-01,2027-09-01
E1513,4881,yes,2026-10-01,2027-10-01
E1514,618,no,2026-11-01,2027-11-01
E1515,755,no,2026-12-01,2027-12-01
E1516,892,yes,2026-01-01,2027-01-01
E1517,1029,no,2026-02-01,2027-02-01
E1518,1166,no,2026-03-01,2027-03-01
E1519,1303,yes,2026-04-01,2027-04-01
